City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,swakopmund,-22.6833,14.5333,65.98,76,1,3.0,NA,Mon Dec 11 10:58:42 2023
108,hami,42.8,93.45,29.64,48,100,2.28,CN,Mon Dec 11 10:58:42 2023
109,vadso,70.0744,29.7487,19.56,79,100,14.97,NO,Mon Dec 11 10:58:43 2023
110,omdurman,15.6445,32.4777,85.71,8,100,8.63,SD,Mon Dec 11 10:58:43 2023
111,tazovsky,67.4667,78.7,-12.71,95,100,9.51,RU,Mon Dec 11 10:58:44 2023
112,riberalta,-10.9833,-66.1,86.2,79,75,6.91,BO,Mon Dec 11 10:58:44 2023
113,pamandzi,-12.7967,45.2794,83.98,70,0,5.75,YT,Mon Dec 11 10:58:45 2023
114,batang berjuntai,3.3833,101.4167,80.44,93,100,3.09,MY,Mon Dec 11 10:58:45 2023
115,fada,9.5667,8.3,85.51,19,0,9.13,NG,Mon Dec 11 10:58:45 2023
116,saint-joseph,-21.3667,55.6167,77.38,78,52,10.22,RE,Mon Dec 11 10:58:45 2023
117,chibougamau,49.9168,-74.3659,19.02,93,100,9.22,CA,Mon Dec 11 10:58:45 2023
118,fonyod,46.7555,17.5795,46.58,92,84,4.36,HU,Mon Dec 11 10:58:45 2023
119,beroroha,-21.6667,45.1667,92.01,38,62,9.04,MG,Mon Dec 11 10:58:45 2023
120,margate,51.3813,1.3862,50.11,74,28,4.0,GB,Mon Dec 11 10:57:15 2023
121,gebeit,21.0667,36.3167,81.23,46,100,6.58,SD,Mon Dec 11 10:58:46 2023
122,ancud,-41.8697,-73.8203,54.28,93,100,9.78,CL,Mon Dec 11 10:58:46 2023
123,aktas,49.7789,72.9608,-18.65,86,100,16.51,KZ,Mon Dec 11 10:58:46 2023
124,ilulissat,69.2167,-51.1,34.97,66,100,15.39,GL,Mon Dec 11 10:58:46 2023
125,keflavik,64.0049,-22.5624,36.03,87,40,14.97,IS,Mon Dec 11 10:58:46 2023
126,walvis bay,-22.9575,14.5053,66.09,68,8,7.38,NA,Mon Dec 11 10:58:46 2023
127,bilibino,68.0546,166.4372,-1.19,94,100,3.06,RU,Mon Dec 11 10:58:46 2023
128,talnakh,69.4865,88.3972,-14.8,98,100,9.69,RU,Mon Dec 11 10:58:46 2023
129,sur,22.5667,59.5289,76.41,59,78,9.19,OM,Mon Dec 11 10:58:47 2023
130,haiku-pauwela,20.9219,-156.3051,75.04,88,75,0.0,US,Mon Dec 11 10:58:47 2023
131,smithers,54.7804,-127.1743,25.12,93,100,4.61,CA,Mon Dec 11 10:58:47 2023
132,mpulungu,-8.7623,31.1141,74.35,88,99,1.81,ZM,Mon Dec 11 10:58:47 2023
133,arambol,15.6868,73.7045,84.09,70,73,5.66,IN,Mon Dec 11 10:58:47 2023
134,tolanaro,-25.0319,46.9987,84.27,79,20,20.71,MG,Mon Dec 11 10:58:47 2023
135,bikenibeu village,1.3673,173.1241,78.76,94,40,1.14,KI,Mon Dec 11 10:58:47 2023
136,west valley,46.5921,-120.6051,37.58,93,100,5.75,US,Mon Dec 11 10:58:48 2023
137,mount pearl,47.5166,-52.7813,49.32,94,100,20.71,CA,Mon Dec 11 10:58:48 2023
138,gereida,11.2811,25.1414,83.12,16,73,3.53,SD,Mon Dec 11 10:58:48 2023
139,mungaoli,24.4167,78.1,62.69,41,1,4.23,IN,Mon Dec 11 10:58:48 2023
140,silver city,32.7701,-108.2803,51.31,23,0,0.0,US,Mon Dec 11 10:58:49 2023
141,cut off,29.5427,-90.3381,51.8,46,0,10.36,US,Mon Dec 11 10:58:49 2023
142,pionerskiy,54.9508,20.2275,33.64,89,100,7.7,RU,Mon Dec 11 10:58:49 2023
143,coquimbo,-29.9533,-71.3436,67.73,68,40,9.22,CL,Mon Dec 11 10:54:21 2023
144,thompson,55.7435,-97.8558,15.96,86,100,11.5,CA,Mon Dec 11 10:58:49 2023
145,saint-pierre,-21.3393,55.4781,78.48,73,0,23.02,RE,Mon Dec 11 10:58:49 2023
146,caleta de carquin,-11.0925,-77.6267,72.57,71,8,11.25,PE,Mon Dec 11 10:58:49 2023
147,nuuk,64.1835,-51.7216,34.88,69,99,55.99,GL,Mon Dec 11 10:58:49 2023
148,brownsville,25.9018,-97.4975,62.91,60,0,0.0,US,Mon Dec 11 10:55:56 2023
149,iquique,-20.2208,-70.1431,71.64,65,55,8.86,CL,Mon Dec 11 10:58:38 2023
150,kapa'a,22.0752,-159.319,77.32,86,100,11.5,US,Mon Dec 11 10:58:50 2023
151,tsumeb,-19.2333,17.7167,93.0,13,65,12.75,NA,Mon Dec 11 10:58:50 2023
152,mil'kovo,55.6078,37.7956,20.34,95,100,15.12,RU,Mon Dec 11 10:58:50 2023
153,ponta delgada,37.7333,-25.6667,65.19,72,20,12.66,PT,Mon Dec 11 10:54:44 2023
154,kaoma,-14.7833,24.8,68.11,96,97,5.08,ZM,Mon Dec 11 10:58:50 2023
155,rondonopolis,-16.4708,-54.6356,104.67,25,64,3.36,BR,Mon Dec 11 10:58:50 2023
156,sogndal,61.2283,7.1003,32.38,63,20,8.05,NO,Mon Dec 11 10:58:50 2023
157,camana,-16.6228,-72.7111,72.55,73,76,9.15,PE,Mon Dec 11 10:58:50 2023
158,dunedin,-45.8742,170.5036,50.81,70,75,20.0,NZ,Mon Dec 11 10:57:34 2023
159,san vicente de chucuri,6.881,-73.4098,85.37,60,90,3.44,CO,Mon Dec 11 10:58:51 2023
160,kavaratti,10.5669,72.642,83.98,70,57,2.44,IN,Mon Dec 11 10:58:51 2023
161,nemuro,43.3236,145.575,34.59,54,95,5.03,JP,Mon Dec 11 10:58:51 2023
162,fortuna,40.5982,-124.1573,49.35,97,100,0.0,US,Mon Dec 11 10:58:51 2023
163,hagere maryam,5.6333,38.2333,64.04,65,81,3.78,ET,Mon Dec 11 10:58:51 2023
164,castanos,26.7833,-101.4167,55.9,41,100,1.97,MX,Mon Dec 11 10:58:51 2023
